Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 4.916451e-01 1.632189e+02 1.000105e+02     Pix  0  0
2.000000e-03 4.420135e-01 1.705619e+02 9.495866e+01     Pix  0  1
2.000000e-03 4.663044e-01 1.679215e+02 9.828563e+01     Pix  0  2
2.000000e-03 4.709014e-01 1.664348e+02 9.680831e+01     Pix  0  3
2.000000e-03 4.821615e-01 1.669330e+02 9.956905e+01     Pix  0  4
2.000000e-03 4.875719e-01 1.659576e+02 9.810817e+01     Pix  0  5
2.000000e-03 5.049003e-01 1.662472e+02 9.751579e+01     Pix  0  6
2.000000e-03 4.701986e-01 1.700332e+02 9.504572e+01     Pix  0  7
2.000000e-03 5.019762e-01 1.681091e+02 9.598018e+01     Pix  0  8
2.000000e-03 4.654166e-01 1.692281e+02 9.687634e+01     Pix  0  9
2.000000e-03 4.971000e-01 1.658067e+02 9.690797e+01     Pix  0 10
2.000000e-03 4.709716e-01 1.693574e+02 9.504982e+01     Pix  0 11
2.000000e-03 4.893806e-01 1.700364e+02 9.311530e+01     Pix  0 12
2.000000e-03 5.026943e-01 1.700992e+02 9.482454e+01     Pix  0 13
2.000000e-03 4.842303e-01 1.705177e+02 9.518749e+01     Pix  0 14
2.000000e-03 4.359601e-01 1.716517e+02 9.459145e+01     Pix  0 15
2.000000e-03 4.752317e-01 1.665476e+02 9.844275e+01     Pix  0 16
2.000000e-03 4.586202e-01 1.699111e+02 9.552100e+01     Pix  0 17
2.000000e-03 4.977122e-01 1.676750e+02 9.644052e+01     Pix  0 18
2.000000e-03 4.906913e-01 1.679803e+02 9.645268e+01     Pix  0 19
1.999964e-03 5.087258e-01 1.679860e+02 9.324153e+01     Pix  0 20
2.000000e-03 4.635790e-01 1.686267e+02 9.643314e+01     Pix  0 21
2.000000e-03 5.293723e-01 1.656196e+02 9.797298e+01     Pix  0 22
2.000000e-03 4.808112e-01 1.697667e+02 9.368290e+01     Pix  0 23
2.000000e-03 5.124666e-01 1.678545e+02 9.446826e+01     Pix  0 24
2.000000e-03 5.354496e-01 1.695435e+02 9.335599e+01     Pix  0 25
1.999826e-03 5.509010e-01 1.680894e+02 9.190774e+01     Pix  0 26
