Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

1.999995e-03 6.451513e-01 1.548317e+02 1.115285e+02     Pix  0  0
2.000000e-03 6.501729e-01 1.544761e+02 1.129179e+02     Pix  0  1
2.000000e-03 6.766119e-01 1.512079e+02 1.144523e+02     Pix  0  2
2.000000e-03 6.297011e-01 1.544618e+02 1.106444e+02     Pix  0  3
2.000000e-03 6.250633e-01 1.547012e+02 1.113406e+02     Pix  0  4
2.000000e-03 6.368612e-01 1.532673e+02 1.130892e+02     Pix  0  5
2.000000e-03 6.839386e-01 1.546898e+02 1.092554e+02     Pix  0  6
2.000000e-03 6.721128e-01 1.536896e+02 1.105828e+02     Pix  0  7
1.999945e-03 6.818470e-01 1.549575e+02 1.100952e+02     Pix  0  8
2.000000e-03 6.586715e-01 1.563265e+02 1.092233e+02     Pix  0  9
2.000000e-03 6.818106e-01 1.529408e+02 1.100779e+02     Pix  0 10
2.000000e-03 6.211746e-01 1.595685e+02 1.078101e+02     Pix  0 11
2.000000e-03 7.132189e-01 1.521578e+02 1.100367e+02     Pix  0 12
1.999758e-03 7.029676e-01 1.558084e+02 1.059888e+02     Pix  0 13
2.000000e-03 6.740709e-01 1.573189e+02 1.073862e+02     Pix  0 14
2.000000e-03 6.699279e-01 1.522018e+02 1.114085e+02     Pix  0 15
2.000000e-03 6.377159e-01 1.562914e+02 1.112521e+02     Pix  0 16
2.000000e-03 6.704775e-01 1.538998e+02 1.111737e+02     Pix  0 17
1.999937e-03 7.211178e-01 1.534164e+02 1.104380e+02     Pix  0 18
2.000000e-03 7.277810e-01 1.522090e+02 1.105846e+02     Pix  0 19
2.000000e-03 6.983453e-01 1.544209e+02 1.077417e+02     Pix  0 20
2.000000e-03 6.962452e-01 1.532783e+02 1.099257e+02     Pix  0 21
1.999946e-03 6.743022e-01 1.546747e+02 1.103391e+02     Pix  0 22
2.000000e-03 6.838852e-01 1.525040e+02 1.129643e+02     Pix  0 23
1.995734e-03 7.029801e-01 1.556334e+02 1.059176e+02     Pix  0 24
2.000000e-03 6.802559e-01 1.574080e+02 1.071543e+02     Pix  0 25
1.999911e-03 7.045060e-01 1.570740e+02 1.059825e+02     Pix  0 26
2.000000e-03 6.580587e-01 1.562804e+02 1.091481e+02     Pix  0 27
1.999948e-03 6.770933e-01 1.557787e+02 1.097017e+02     Pix  0 28
2.000000e-03 6.686814e-01 1.561860e+02 1.083865e+02     Pix  0 29
2.000000e-03 6.865340e-01 1.587919e+02 1.063781e+02     Pix  0 30
1.995741e-03 7.038833e-01 1.560285e+02 1.052466e+02     Pix  0 31
1.999915e-03 7.318316e-01 1.548093e+02 1.093195e+02     Pix  0 32
2.000000e-03 6.756436e-01 1.531559e+02 1.114127e+02     Pix  0 33
2.000000e-03 6.205114e-01 1.565273e+02 1.112630e+02     Pix  0 34
2.000000e-03 6.841050e-01 1.521229e+02 1.128885e+02     Pix  0 35
2.000000e-03 6.543952e-01 1.590593e+02 1.067936e+02     Pix  0 36
2.000000e-03 7.087191e-01 1.541490e+02 1.097608e+02     Pix  0 37
2.000000e-03 7.065619e-01 1.545982e+02 1.104108e+02     Pix  0 38
2.000000e-03 6.893416e-01 1.549959e+02 1.099239e+02     Pix  0 39
1.999946e-03 6.988786e-01 1.536514e+02 1.123040e+02     Pix  0 40
2.000000e-03 6.792833e-01 1.568071e+02 1.084227e+02     Pix  0 41
2.000000e-03 7.204519e-01 1.554212e+02 1.064937e+02     Pix  0 42
2.000000e-03 7.385360e-01 1.553553e+02 1.083706e+02     Pix  0 43
2.000000e-03 7.206929e-01 1.562375e+02 1.071362e+02     Pix  0 44
2.000000e-03 6.848788e-01 1.549062e+02 1.103599e+02     Pix  0 45
2.000000e-03 6.686980e-01 1.563966e+02 1.103398e+02     Pix  0 46
2.000000e-03 6.963274e-01 1.549159e+02 1.106675e+02     Pix  0 47
2.000000e-03 7.041565e-01 1.557741e+02 1.061106e+02     Pix  0 48
2.000000e-03 7.231545e-01 1.565515e+02 1.073619e+02     Pix  0 49
2.000000e-03 7.178855e-01 1.575875e+02 1.063696e+02     Pix  0 50
1.999948e-03 6.830091e-01 1.544281e+02 1.118815e+02     Pix  0 51
2.000000e-03 6.703637e-01 1.540734e+02 1.095903e+02     Pix  0 52
2.000000e-03 7.081200e-01 1.518095e+02 1.123944e+02     Pix  0 53
1.999372e-03 6.912388e-01 1.568831e+02 1.063660e+02     Pix  0 54
2.000000e-03 6.765416e-01 1.584102e+02 1.054327e+02     Pix  0 55
2.000000e-03 6.853984e-01 1.568209e+02 1.074860e+02     Pix  0 56
2.000000e-03 7.115280e-01 1.527647e+02 1.110500e+02     Pix  0 57
2.000000e-03 6.996723e-01 1.537628e+02 1.106391e+02     Pix  0 58
2.000000e-03 7.264331e-01 1.553362e+02 1.092691e+02     Pix  0 59
2.000000e-03 6.676699e-01 1.611615e+02 1.047027e+02     Pix  0 60
2.000000e-03 7.224546e-01 1.562917e+02 1.063697e+02     Pix  0 61
1.999999e-03 6.855423e-01 1.570612e+02 1.046597e+02     Pix  0 62
1.945306e-03 7.180443e-01 1.533103e+02 1.087470e+02     Pix  0 63
2.000000e-03 6.816440e-01 1.561938e+02 1.077162e+02     Pix  0 64
1.999945e-03 6.928497e-01 1.555258e+02 1.112428e+02     Pix  0 65
2.000000e-03 7.428497e-01 1.553496e+02 1.088864e+02     Pix  0 66
2.000000e-03 7.437394e-01 1.570257e+02 1.077029e+02     Pix  0 67
2.000000e-03 6.818104e-01 1.592073e+02 1.053987e+02     Pix  0 68
1.999950e-03 6.985252e-01 1.524315e+02 1.135248e+02     Pix  0 69
2.000000e-03 7.013324e-01 1.532194e+02 1.132768e+02     Pix  0 70
2.000000e-03 7.089242e-01 1.509606e+02 1.121469e+02     Pix  0 71
2.000000e-03 7.162009e-01 1.557211e+02 1.098360e+02     Pix  0 72
2.000000e-03 7.316306e-01 1.556019e+02 1.087368e+02     Pix  0 73
2.000000e-03 7.262227e-01 1.544426e+02 1.076307e+02     Pix  0 74
2.000000e-03 6.951028e-01 1.565208e+02 1.093541e+02     Pix  0 75
2.000000e-03 6.957382e-01 1.562846e+02 1.107076e+02     Pix  0 76
2.000000e-03 7.015308e-01 1.561966e+02 1.079771e+02     Pix  0 77
2.000000e-03 7.540112e-01 1.553868e+02 1.079307e+02     Pix  0 78
1.999886e-03 8.452507e-01 1.477293e+02 1.082844e+02     Pix  0 79
2.000000e-03 6.019520e-01 1.605125e+02 1.102656e+02     Pix  1  0
2.000000e-03 5.818406e-01 1.644286e+02 1.052833e+02     Pix  1  1
2.000000e-03 6.337584e-01 1.587341e+02 1.099743e+02     Pix  1  2
2.000000e-03 6.457478e-01 1.556501e+02 1.101931e+02     Pix  1  3
2.000000e-03 5.803576e-01 1.629480e+02 1.088380e+02     Pix  1  4
2.000000e-03 5.483024e-01 1.644148e+02 1.072995e+02     Pix  1  5
2.000000e-03 5.793957e-01 1.652511e+02 1.060215e+02     Pix  1  6
2.000000e-03 6.446621e-01 1.618175e+02 1.080080e+02     Pix  1  7
2.000000e-03 5.856851e-01 1.665325e+02 1.026007e+02     Pix  1  8
2.000000e-03 6.197230e-01 1.643424e+02 1.067573e+02     Pix  1  9
2.000000e-03 6.171089e-01 1.634168e+02 1.062803e+02     Pix  1 10
2.000000e-03 6.416290e-01 1.633210e+02 1.071648e+02     Pix  1 11
2.000000e-03 6.429863e-01 1.645526e+02 1.032576e+02     Pix  1 12
2.000000e-03 6.314562e-01 1.663247e+02 1.025838e+02     Pix  1 13
2.000000e-03 6.248996e-01 1.663966e+02 1.037449e+02     Pix  1 14
1.999960e-03 6.224855e-01 1.604077e+02 1.093443e+02     Pix  1 15
2.000000e-03 6.208070e-01 1.613061e+02 1.075608e+02     Pix  1 16
2.000000e-03 5.368764e-01 1.672036e+02 1.067658e+02     Pix  1 17
2.000000e-03 6.377896e-01 1.627274e+02 1.039985e+02     Pix  1 18
2.000000e-03 6.399565e-01 1.616005e+02 1.073300e+02     Pix  1 19
2.000000e-03 6.184658e-01 1.663530e+02 1.064471e+02     Pix  1 20
2.000000e-03 5.856318e-01 1.645968e+02 1.048883e+02     Pix  1 21
2.000000e-03 5.780779e-01 1.668760e+02 1.029149e+02     Pix  1 22
2.000000e-03 6.169830e-01 1.655566e+02 1.059455e+02     Pix  1 23
2.000000e-03 6.969016e-01 1.617654e+02 1.052607e+02     Pix  1 24
2.000000e-03 6.435852e-01 1.669649e+02 1.024638e+02     Pix  1 25
2.000000e-03 6.634956e-01 1.636296e+02 1.051241e+02     Pix  1 26
2.000000e-03 5.499828e-01 1.693228e+02 1.036533e+02     Pix  1 27
2.000000e-03 5.969018e-01 1.663555e+02 1.041586e+02     Pix  1 28
2.000000e-03 6.454888e-01 1.639114e+02 1.069565e+02     Pix  1 29
2.000000e-03 6.469538e-01 1.651613e+02 1.040293e+02     Pix  1 30
1.999944e-03 6.554786e-01 1.651594e+02 1.048294e+02     Pix  1 31
2.000000e-03 6.408093e-01 1.665378e+02 1.028993e+02     Pix  1 32
1.999957e-03 6.052918e-01 1.640985e+02 1.072013e+02     Pix  1 33
2.000000e-03 5.951618e-01 1.637543e+02 1.081646e+02     Pix  1 34
1.999955e-03 6.391101e-01 1.598526e+02 1.091471e+02     Pix  1 35
2.000000e-03 6.233083e-01 1.637901e+02 1.071414e+02     Pix  1 36
1.999955e-03 6.363992e-01 1.622808e+02 1.071537e+02     Pix  1 37
2.000000e-03 6.461429e-01 1.640842e+02 1.070439e+02     Pix  1 38
2.000000e-03 6.324388e-01 1.646754e+02 1.075534e+02     Pix  1 39
2.000000e-03 5.786487e-01 1.668554e+02 1.022037e+02     Pix  1 40
2.000000e-03 6.304527e-01 1.641432e+02 1.061184e+02     Pix  1 41
2.000000e-03 6.750312e-01 1.648685e+02 1.032625e+02     Pix  1 42
2.000000e-03 6.517344e-01 1.664790e+02 1.014830e+02     Pix  1 43
2.000000e-03 6.627616e-01 1.632534e+02 1.040746e+02     Pix  1 44
1.999948e-03 6.715193e-01 1.616304e+02 1.089644e+02     Pix  1 45
2.000000e-03 6.084932e-01 1.648665e+02 1.058273e+02     Pix  1 46
